title,genres,runtime,vote_average,vote_count,year
Gold Diggers: The Secret of Bear Mountain,['drama'],94.0,5.8,20,1995
Kim,"['family', 'adventure']",113.0,7.0,5,2050
Carmen Miranda: Bananas Is My Business,['documentary'],91.0,10.0,1,1995
Ashes of Time,"['drama', 'action']",100.0,7.1,73,1994
The Jar,[],86.0,8.0,3,1994
Maya Lin: A Strong Clear Vision,['documentary'],105.0,0.0,0,1995
Stalingrad,"['drama', 'history', 'war']",134.0,7.4,116,1993
The Phantom,"['adventure', 'action']",100.0,4.7,138,1996
Striptease,"['drama', 'thriller', 'crime']",115.0,4.4,210,1996
The Last of the High Kings,"['drama', 'comedy']",102.0,5.7,15,1996
Heavy,"['drama', 'romance']",105.0,7.7,11,1995
Jack,"['comedy', 'drama', 'science fiction']",113.0,5.9,340,1996
I Shot Andy Warhol,['drama'],103.0,6.1,32,1996
The Grass Harp,"['comedy', 'drama', 'family']",107.0,6.1,4,1995
Someone Else's America,['drama'],96.0,0.0,0,1995
Life is Rosy,"['music', 'romance']",80.0,6.5,2,1987
Quartier Mozart,[],80.0,5.0,1,1992
Touki Bouki,"['drama', 'romance']",85.0,7.3,10,1973
God's Gift,['drama'],75.0,5.0,1,1982
Spirits of the Dead,"['drama', 'mystery', 'horror']",121.0,5.5,24,2068
Babyfever,[],109.0,0.0,0,1994
Pharaoh's  Army,"['western', 'drama', 'war']",90.0,6.3,5,1995
Trainspotting,"['drama', 'crime']",93.0,7.8,2737,1996
Til There Was You,"['comedy', 'romance']",113.0,3.9,4,1997
Independence Day,"['action', 'adventure', 'science fiction']",145.0,6.7,3334,1996
Stealing Beauty,"['drama', 'romance']",116.0,6.6,99,1996
The Fan,"['drama', 'mystery', 'thriller']",116.0,5.7,202,1996
The Hunchback of Notre Dame,"['drama', 'animation', 'family']",91.0,6.8,1182,1996
The Cable Guy,"['comedy', 'drama', 'thriller']",96.0,5.7,603,1996
Kingpin,['comedy'],113.0,6.7,248,1996
Eraser,"['action', 'drama', 'mystery', 'thriller']",115.0,5.6,553,1996
The Gate of Heavenly Peace,['documentary'],180.0,6.7,3,1995
The Nutty Professor,"['fantasy', 'comedy', 'romance', 'science fiction']",95.0,5.4,717,1996
"I, the Worst of All","['drama', 'foreign']",105.0,6.8,3,1990
An Unforgettable Summer,"['drama', 'romance', 'war']",82.0,7.2,6,1994
A Hungarian Fairy Tale,[],97.0,0.0,0,1987
My Life and Times With Antonin Artaud,[],90.0,8.0,1,1993
Midnight Dancers,[],100.0,7.0,1,1994
Somebody to Love,"['comedy', 'drama']",102.0,5.1,2,1994
A Very Natural Thing,['drama'],80.0,6.3,3,1974
The Old Lady Who Walked in the Sea,['comedy'],0.0,0.0,0,1991
Daylight,"['action', 'adventure', 'thriller']",115.0,5.8,385,1996
The Frighteners,"['horror', 'comedy']",110.0,6.7,413,1996
Lone Star,"['drama', 'mystery', 'romance']",135.0,6.9,79,1996
Harriet the Spy,"['comedy', 'drama', 'family']",100.0,5.7,47,1996
Phenomenon,"['drama', 'fantasy', 'romance', 'science fiction']",123.0,6.2,328,1996
Walking and Talking,"['comedy', 'drama', 'romance']",86.0,6.6,8,1996
She's the One,"['comedy', 'romance']",96.0,5.7,71,1996
A Time to Kill,"['crime', 'drama', 'thriller']",149.0,7.0,522,1996
American Buffalo,['drama'],88.0,6.2,9,1996
Rendezvous in Paris,"['romance', 'comedy']",94.0,6.5,4,1995
Alaska,['adventure'],109.0,5.2,32,1996
Fled,"['action', 'comedy', 'thriller']",98.0,5.2,49,1996
Kazaam,"['fantasy', 'comedy', 'science fiction', 'family']",93.0,3.6,60,1996
Magic Hunter,[],106.0,6.0,1,1994
Larger Than Life,"['family', 'comedy']",93.0,5.4,35,1996
A Boy Called Hate,[],0.0,6.0,2,1996
Power 98,"['action', 'mystery', 'thriller']",89.0,4.0,1,1996
Two Deaths,"['war', 'drama']",102.0,7.0,2,1995
A Very Brady Sequel,['comedy'],90.0,5.8,42,1996
Stefano Quantestorie,['comedy'],82.0,6.0,1,1993
Death in the Garden,"['adventure', 'drama']",104.0,7.4,8,2056
Hedd Wyn,"['war', 'drama']",123.0,6.5,2,1992
La Collectionneuse,"['drama', 'comedy', 'romance']",89.0,6.5,25,2067
Kaspar Hauser,"['drama', 'foreign']",139.0,6.3,4,1993
Regular Guys,"['comedy', 'foreign']",100.0,5.2,9,1996
Diebinnen,['drama'],,4.0,1,1996
The Convent,['thriller'],91.0,6.5,6,1995
The Adventures of Pinocchio,"['animation', 'family', 'fantasy']",90.0,5.0,55,1996
Joe's Apartment,"['fantasy', 'comedy', 'music']",78.0,5.0,87,1996
The First Wives Club,['comedy'],102.0,6.5,172,1996
Stonewall,"['romance', 'drama', 'comedy']",99.0,7.2,10,1995
Ransom,"['action', 'thriller']",117.0,6.4,482,1996
High School High,['comedy'],86.0,5.4,51,1996
Phat Beach,['comedy'],89.0,5.4,8,1996
Foxfire,"['action', 'drama', 'thriller']",102.0,6.3,30,1996
Chain Reaction,"['action', 'drama', 'science fiction', 'thriller']",107.0,5.3,291,1996
Matilda,"['comedy', 'family', 'fantasy']",98.0,6.9,892,1996
Emma,"['drama', 'comedy', 'romance']",121.0,6.7,152,1996
The Crow: City of Angels,"['action', 'fantasy', 'thriller']",84.0,5.2,119,1996
House Arrest,"['comedy', 'family']",108.0,5.0,32,1996
Eyes Without a Face,"['drama', 'horror', 'thriller']",90.0,7.5,130,2060
Bordello of Blood,"['horror', 'comedy']",87.0,5.0,63,1996
Lotto Land,['drama'],87.0,7.0,1,1995
The Story of Xinghua,[],90.0,0.0,0,1994
The Day the Sun Turned Cold,[],99.0,7.0,2,1994
Flirt,"['drama', 'romance']",85.0,7.5,4,1995
The Big Squeeze,['drama'],98.0,5.0,1,1996
The Spitfire Grill,"['comedy', 'drama']",117.0,6.8,17,1996
Escape from L.A.,"['action', 'adventure', 'science fiction', 'thriller']",97.0,5.6,381,1996
Cyclo,"['crime', 'drama']",123.0,6.8,23,1995
Basquiat,"['drama', 'history']",108.0,6.6,97,1996
Tin Cup,"['comedy', 'drama', 'romance']",135.0,5.9,152,1996
Dingo,"['drama', 'music']",109.0,6.0,1,1991
The Ballad of Narayama,['drama'],98.0,6.4,12,2058
Every Other Weekend,['drama'],104.0,6.0,2,1990
Mille bolle blu,[],0.0,6.0,1,1993
Crows and Sparrows,[],113.0,5.0,1,2049
The Godfather,"['drama', 'crime']",175.0,8.5,6024,1972
Maybe... Maybe Not,"['comedy', 'drama']",90.0,6.1,34,1994
Police Story 3: Supercop,"['action', 'crime', 'thriller']",95.0,6.7,109,1992
Manny & Lo,"['drama', 'comedy']",88.0,6.3,9,1996
Wife,['drama'],89.0,0.0,0,2053
Small Faces,[],108.0,6.4,10,1996
Bound,"['crime', 'drama', 'romance', 'thriller']",108.0,6.9,203,1996
Carpool,"['comedy', 'family']",89.0,4.9,17,1996
Death in Brunswick,['drama'],109.0,6.1,7,1990
Kansas City,"['thriller', 'drama', 'music', 'crime']",116.0,6.1,13,1996
Gone Fishin',"['comedy', 'family']",94.0,4.7,48,1997
Lover's Knot,"['romance', 'comedy']",82.0,4.0,2,1996
Vive L'Amour,['drama'],118.0,7.3,16,1994
Shadow of Angels,['drama'],101.0,4.0,2,1976
Killer: A Journal of Murder,['drama'],91.0,6.3,10,1996
Nothing to Lose,"['action', 'crime', 'drama']",0.0,0.0,0,1994
Project S,"['action', 'adventure', 'crime']",104.0,5.8,12,1993
Girls Town,"['comedy', 'drama']",90.0,5.2,3,1996
Bye-Bye,['drama'],104.0,7.7,3,1995
The Relic,"['horror', 'mystery', 'thriller']",110.0,5.8,130,1997
The Island of Dr. Moreau,"['fantasy', 'horror', 'science fiction']",96.0,4.6,148,1996
First Kid,"['comedy', 'family']",101.0,5.3,28,1996
The Trigger Effect,"['drama', 'thriller']",94.0,6.6,18,1996
Sweet Nothing,[],89.0,5.0,2,1995
Bogus,"['fantasy', 'comedy', 'family']",110.0,5.4,46,1996
Bulletproof,"['action', 'adventure', 'comedy', 'thriller']",84.0,5.4,164,1996
Talk of Angels,"['drama', 'romance', 'war']",96.0,6.8,4,1998
The Land Before Time III: The Time of the Great Giving,"['animation', 'adventure', 'family']",71.0,6.1,86,1995
1-900,[],0.0,5.0,1,1994
Baton Rouge,['thriller'],,0.0,0,1988
Halloween: The Curse of Michael Myers,"['horror', 'thriller']",88.0,5.0,173,1995
Twelfth Night,"['drama', 'comedy', 'romance']",134.0,7.0,22,1996
Mother Night,"['drama', 'history']",114.0,7.1,13,1996
Liebelei,"['drama', 'romance']",88.0,6.3,8,2033
Venice,"['drama', 'romance']",110.0,7.5,4,2010
Wild Reeds,"['drama', 'romance']",115.0,7.4,18,1994
For Whom the Bell Tolls,"['drama', 'history', 'romance', 'thriller']",170.0,6.1,41,2043
The Philadelphia Story,"['comedy', 'romance']",112.0,7.7,196,2040
Singin' in the Rain,"['comedy', 'music', 'romance']",103.0,7.9,747,2052
An American in Paris,"['drama', 'comedy', 'music', 'romance']",113.0,6.9,133,2051
Funny Face,"['music', 'comedy', 'romance']",103.0,7.0,162,2057
Breakfast at Tiffany's,"['comedy', 'drama', 'romance']",110.0,7.6,1082,2061
Vertigo,"['mystery', 'romance', 'thriller']",128.0,8.0,1162,2058
Rear Window,"['drama', 'mystery', 'thriller']",112.0,8.2,1531,2054
It Happened One Night,"['comedy', 'romance']",105.0,7.7,283,2034
Gaslight,"['drama', 'mystery', 'thriller', 'crime']",114.0,7.2,73,2044
The Gay Divorcee,"['comedy', 'music', 'romance']",107.0,7.2,17,2034
North by Northwest,"['mystery', 'thriller']",136.0,7.8,1062,2059
The Apartment,"['comedy', 'drama', 'romance']",125.0,8.1,498,2060
Some Like It Hot,"['comedy', 'romance']",122.0,8.0,835,2059
Charade,"['comedy', 'mystery', 'romance', 'thriller']",113.0,7.7,351,2063
Casablanca,"['drama', 'romance']",102.0,7.9,1462,2042
The Maltese Falcon,"['mystery', 'crime', 'thriller']",100.0,7.8,435,2041
My Fair Lady,"['drama', 'family', 'music', 'romance']",170.0,7.4,361,2064
Sabrina,"['comedy', 'drama', 'romance']",113.0,7.4,284,2054
Roman Holiday,"['comedy', 'romance']",119.0,7.8,502,2053
The Little Princess,"['drama', 'comedy', 'family']",93.0,7.0,22,2039
Meet Me in St. Louis,"['comedy', 'music', 'romance']",113.0,6.8,66,2044
The Wizard of Oz,"['adventure', 'family', 'fantasy']",102.0,7.4,1689,2039
Gone with the Wind,"['drama', 'romance', 'war']",238.0,7.7,995,2039
My Favorite Year,"['comedy', 'drama']",92.0,7.1,35,1982
Sunset Boulevard,['drama'],110.0,8.2,533,2050
Citizen Kane,"['mystery', 'drama']",119.0,8.0,1244,2041
2001: A Space Odyssey,"['science fiction', 'mystery', 'adventure']",149.0,7.9,3075,2068
Golden Earrings,"['adventure', 'romance']",95.0,4.8,3,2047
All About Eve,['drama'],138.0,8.0,367,2050
The Women,"['comedy', 'drama']",133.0,6.4,26,2039
Rebecca,"['drama', 'mystery']",130.0,7.7,346,2040
Foreign Correspondent,"['mystery', 'thriller', 'war']",120.0,7.0,86,2040
Notorious,"['thriller', 'drama', 'romance']",102.0,7.8,345,2046
Spellbound,"['drama', 'mystery', 'thriller']",111.0,7.3,166,2045
An Affair to Remember,"['drama', 'romance']",111.0,7.1,101,2057
To Catch a Thief,"['crime', 'drama', 'mystery', 'romance', 'thriller']",106.0,7.1,299,2055
Father of the Bride,"['comedy', 'drama', 'family', 'romance']",92.0,6.6,43,2050
The Band Wagon,"['comedy', 'music']",112.0,7.1,46,2053
Ninotchka,"['comedy', 'romance']",110.0,7.3,77,2039
Love in the Afternoon,"['comedy', 'drama', 'romance']",130.0,7.3,55,2057
Gigi,"['comedy', 'music', 'romance']",116.0,6.1,68,2058
The Reluctant Debutante,"['comedy', 'romance']",94.0,6.6,11,2058
The Adventures of Robin Hood,"['action', 'adventure', 'romance']",102.0,7.6,170,2038
The Mark of Zorro,"['action', 'adventure', 'drama', 'romance', 'western']",94.0,7.1,39,2040
Laura,"['drama', 'mystery']",88.0,7.6,173,2044
The Ghost and Mrs. Muir,"['fantasy', 'romance', 'mystery']",104.0,7.3,59,2047
Lost Horizon,"['adventure', 'fantasy', 'drama', 'mystery']",97.0,6.8,42,2037
Top Hat,"['comedy', 'music', 'romance']",101.0,7.4,62,2035
To Be or Not to Be,"['comedy', 'war']",99.0,7.7,119,2042
My Man Godfrey,"['comedy', 'romance']",94.0,7.7,69,2036
Giant,"['action', 'drama', 'western']",201.0,7.5,169,2056
East of Eden,['drama'],115.0,7.5,163,2055
The Thin Man,"['comedy', 'crime', 'mystery']",93.0,7.4,97,2034
His Girl Friday,"['comedy', 'drama']",92.0,7.5,171,2040
Around the World in Eighty Days,"['adventure', 'comedy', 'family', 'fantasy', 'romance']",167.0,6.5,85,2056
It's a Wonderful Life,"['drama', 'family', 'fantasy']",130.0,8.0,1103,2046
Mr. Smith Goes to Washington,"['comedy', 'drama']",129.0,7.9,245,2039
Bringing Up Baby,"['comedy', 'romance']",102.0,7.6,201,2038
Penny Serenade,"['drama', 'romance']",119.0,6.4,23,2041
The Scarlet Letter,['drama'],115.0,8.3,4,2026
Lady of Burlesque,"['comedy', 'thriller', 'mystery', 'romance']",91.0,5.0,7,2043
Of Human Bondage,['drama'],83.0,6.4,26,2034
Angel on My Shoulder,"['comedy', 'fantasy', 'romance']",100.0,5.7,6,2046
Little Lord Fauntleroy,"['drama', 'family']",102.0,6.6,13,2036
They Made Me a Criminal,"['thriller', 'crime', 'drama', 'mystery']",92.0,5.6,8,2039
The Inspector General,"['comedy', 'music', 'romance']",101.0,6.2,17,2049
Angel and the Badman,"['romance', 'western']",100.0,6.6,27,2047
The 39 Steps,"['action', 'thriller', 'mystery']",86.0,7.4,217,2035
A Walk in the Sun,"['war', 'drama']",117.0,5.2,14,2045
The Outlaw,"['action', 'adventure', 'western']",116.0,4.9,16,2043
Night of the Living Dead,['horror'],96.0,7.5,591,2068
The African Queen,"['adventure', 'war', 'romance']",105.0,7.4,232,2051
Beat the Devil,"['action', 'adventure', 'comedy', 'crime', 'drama', 'romance']",89.0,6.2,31,2053
Cat on a Hot Tin Roof,"['drama', 'romance']",108.0,7.6,168,2058
The Last Time I Saw Paris,"['romance', 'drama']",116.0,5.1,9,2054
Meet John Doe,"['drama', 'comedy', 'romance']",122.0,7.3,52,2041
Algiers,"['drama', 'action', 'mystery', 'romance']",96.0,5.8,6,2038
Something to Sing About,['comedy'],93.0,3.8,2,2037
A Farewell to Arms,"['drama', 'romance', 'war']",89.0,6.2,29,2032
Moonlight Murder,"['music', 'mystery']",65.0,6.0,1,2036
Nothing Personal,['drama'],83.0,4.0,1,1996
"Yes, Madam","['action', 'foreign']",93.0,7.4,11,1985
Dangerous Ground,['drama'],95.0,5.0,8,1997
Picnic,"['drama', 'romance']",115.0,6.7,19,2055
Madagascar Skin,[],96.0,0.0,0,1995
The Pompatus of Love,"['comedy', 'romance', 'drama']",99.0,5.3,2,1996
Small Wonders,"['documentary', 'family']",77.0,0.0,0,1995
Fly Away Home,"['action', 'adventure', 'drama', 'family']",107.0,6.6,114,1996
Bliss,"['drama', 'romance']",103.0,4.8,6,1997
Grace of My Heart,"['drama', 'comedy', 'music']",116.0,6.5,15,1996
Brother of Sleep,['drama'],127.0,6.8,6,1995
Maximum Risk,"['action', 'adventure', 'thriller']",100.0,5.3,104,1996
Michael Collins,"['drama', 'thriller']",132.0,6.8,98,1996
The Rich Man's Wife,"['drama', 'thriller']",94.0,4.9,11,1996
Infinity,"['drama', 'romance']",119.0,0.0,0,1996
Big Night,['drama'],107.0,6.8,45,1996
Last Man Standing,"['action', 'crime', 'drama', 'thriller']",101.0,6.2,263,1996
Caught,"['action', 'drama', 'thriller']",110.0,6.5,5,1996
Set It Off,"['drama', 'action', 'crime']",118.0,6.9,66,1996
2 Days in the Valley,"['comedy', 'crime']",104.0,5.9,73,1996
Curdled,"['comedy', 'crime', 'thriller']",88.0,6.2,29,1996
L'associé,['comedy'],94.0,6.0,3,1979
Ed's Next Move,[],88.0,3.0,1,1996
Extreme Measures,"['drama', 'thriller']",118.0,5.7,80,1996
The Glimmer Man,"['action', 'adventure', 'crime', 'drama', 'thriller']",92.0,4.7,102,1996
D3: The Mighty Ducks,"['action', 'comedy', 'drama', 'family']",104.0,5.3,99,1996
The Chamber,"['crime', 'drama']",113.0,5.9,62,1996
The Apple Dumpling Gang,"['comedy', 'family']",100.0,6.6,34,1975
"Davy Crockett, King of the Wild Frontier","['action', 'adventure', 'family', 'western']",93.0,5.9,14,2055
Escape to Witch Mountain,"['adventure', 'fantasy', 'science fiction', 'family']",97.0,6.5,60,1975
The Love Bug,"['comedy', 'family', 'fantasy']",107.0,6.0,126,2068
Herbie Rides Again,"['romance', 'comedy', 'family', 'fantasy']",88.0,5.9,77,1974
Old Yeller,"['adventure', 'drama', 'western']",83.0,7.0,68,2057
The Parent Trap,"['comedy', 'family']",129.0,6.8,92,2061
Pollyanna,['adventure'],134.0,6.9,50,2060
Homeward Bound: The Incredible Journey,"['adventure', 'comedy', 'drama', 'family']",84.0,6.6,218,1993
The Shaggy Dog,"['comedy', 'family']",104.0,6.2,22,2059
Swiss Family Robinson,"['adventure', 'family']",126.0,7.0,88,2060
That Darn Cat!,"['drama', 'family', 'comedy']",112.0,6.4,28,2065
"20,000 Leagues Under the Sea","['adventure', 'drama', 'science fiction']",127.0,6.9,160,2054
Cool Runnings,['comedy'],98.0,6.8,510,1993
Angels in the Outfield,"['fantasy', 'drama', 'comedy', 'family']",102.0,5.7,124,1994
Cinderella,"['family', 'fantasy', 'animation', 'romance']",74.0,6.8,1760,2050
Winnie the Pooh and the Blustery Day,"['animation', 'family', 'music']",25.0,7.8,20,2068
The Three Caballeros,"['animation', 'family', 'music']",71.0,6.2,108,2044
The Sword in the Stone,"['animation', 'family']",79.0,6.9,935,2063
So Dear to My Heart,"['animation', 'drama', 'family']",79.0,6.3,5,2048
Robin Hood: Prince of Thieves,['adventure'],143.0,6.6,937,1991
Mary Poppins,"['comedy', 'family', 'fantasy']",139.0,7.4,1217,2064
Dumbo,"['animation', 'family']",64.0,6.8,1206,2041
Pete's Dragon,"['fantasy', 'animation', 'comedy', 'family']",128.0,6.4,201,1977
Bedknobs and Broomsticks,"['adventure', 'fantasy', 'animation', 'comedy', 'family', 'music']",117.0,6.8,260,1971
Alice in Wonderland,"['animation', 'adventure', 'family', 'fantasy']",75.0,7.0,1557,2051
The Fox and the Hound,"['adventure', 'animation', 'drama', 'family']",82.0,7.0,884,1981
Freeway,"['comedy', 'drama', 'thriller']",110.0,6.5,95,1996
The Sound of Music,"['drama', 'family', 'music', 'romance']",174.0,7.4,966,2065
Die Hard,"['action', 'thriller']",131.0,7.5,4005,1988
The Lawnmower Man,"['horror', 'thriller', 'science fiction']",108.0,5.4,198,1992
Unhook the Stars,"['drama', 'romance']",103.0,6.2,11,1996
Synthetic Pleasures,['documentary'],85.0,0.0,0,1995
The Secret Agent,"['drama', 'thriller']",95.0,5.0,7,1996
Secrets & Lies,['drama'],142.0,7.1,127,1996
That Thing You Do!,"['comedy', 'drama']",108.0,6.8,230,1996
To Gillian on Her 37th Birthday,"['drama', 'romance']",93.0,5.1,13,1996
Surviving Picasso,"['drama', 'romance']",125.0,5.3,21,1996
Love Is All There Is,"['comedy', 'romance']",105.0,5.5,2,1996
Beautiful Thing,"['comedy', 'drama', 'romance']",90.0,7.3,76,1996
The Long Kiss Goodnight,"['crime', 'action', 'mystery', 'thriller']",120.0,6.4,323,1996
The Ghost and the Darkness,['adventure'],109.0,6.4,238,1996
Looking for Richard,['documentary'],112.0,6.9,33,1996
Trees Lounge,"['comedy', 'drama']",95.0,6.7,51,1996
The Proprietor,['drama'],0.0,0.0,0,1996
Normal Life,"['crime', 'drama']",101.0,6.8,8,1996
Get on the Bus,['drama'],120.0,7.0,11,1996
Shadow Conspiracy,"['action', 'thriller']",103.0,4.0,12,1997
Jude,"['drama', 'romance']",123.0,6.6,38,1996
Everyone Says I Love You,"['music', 'comedy', 'romance']",101.0,6.5,149,1996
Bitter Sugar,"['drama', 'romance']",102.0,6.3,3,1996
Romeo + Juliet,"['drama', 'romance']",120.0,6.7,1406,1996
Swingers,"['comedy', 'romance']",94.0,6.8,255,1996
Sleepers,"['crime', 'drama', 'thriller']",147.0,7.3,729,1996
The Sunchaser,['drama'],122.0,6.1,8,1996
Johns,['drama'],96.0,6.0,6,1996
Aladdin and the King of Thieves,"['adventure', 'animation', 'family']",81.0,6.1,494,1996
The Woman in Question,['mystery'],88.0,5.2,3,2052
Shall We Dance,"['comedy', 'music', 'romance']",109.0,7.9,22,2037
A Damsel in Distress,"['comedy', 'music', 'romance']",101.0,7.0,4,2037
Crossfire,"['crime', 'drama', 'mystery', 'thriller']",86.0,6.1,26,2047
"Murder, My Sweet","['crime', 'drama', 'mystery', 'thriller']",95.0,7.2,48,2044
Macao,"['adventure', 'drama', 'romance']",81.0,5.6,8,2052
For the Moment,"['war', 'drama', 'romance', 'action']",115.0,7.4,3,1993
Willy Wonka & the Chocolate Factory,"['family', 'fantasy']",100.0,7.4,826,1971
The Sexual Life of the Belgians,"['comedy', 'romance']",85.0,5.0,2,1994
The Innocents,['horror'],100.0,7.5,126,2061
Sleeper,"['comedy', 'romance', 'science fiction']",89.0,7.0,206,1973
Bananas,['comedy'],82.0,6.7,167,1971
A Fish Called Wanda,"['comedy', 'crime']",108.0,7.1,576,1988
Life of Brian,['comedy'],94.0,7.7,1230,1979
Victor/Victoria,"['comedy', 'music', 'romance']",132.0,6.9,89,1982
The Candidate,"['comedy', 'drama']",110.0,6.9,39,1972
The Great Race,"['adventure', 'comedy']",160.0,7.2,64,2065
Bonnie and Clyde,"['crime', 'drama']",111.0,7.6,384,2067
The Old Man and the Sea,"['adventure', 'drama']",86.0,6.0,25,2058
Dial M for Murder,"['crime', 'mystery', 'thriller']",104.0,7.9,539,2054
Madame Butterfly,[],135.0,4.8,3,1995
Dirty Dancing,"['drama', 'music', 'romance']",100.0,7.1,1371,1987
Reservoir Dogs,"['crime', 'thriller']",99.0,8.1,3821,1992
Platoon,"['drama', 'war', 'action']",120.0,7.5,1236,1986
Weekend at Bernie's,['comedy'],97.0,6.4,255,1989
Basic Instinct,"['thriller', 'mystery']",127.0,6.5,869,1992
The Doors,"['drama', 'music']",140.0,6.7,285,1991
The Crying Game,"['romance', 'crime', 'drama', 'thriller']",112.0,6.9,180,1992
Glengarry Glen Ross,"['crime', 'drama', 'mystery']",100.0,7.5,330,1992
Sophie's Choice,"['drama', 'romance']",151.0,7.4,149,1982
E.T. the Extra-Terrestrial,"['science fiction', 'adventure', 'family', 'fantasy']",115.0,7.3,3359,1982
The Search for One-eye Jimmy,['comedy'],80.0,6.3,4,1994
A Christmas Carol,"['fantasy', 'drama', 'family']",69.0,7.0,34,2038
Days of Thunder,['adventure'],107.0,5.9,359,1990
Top Gun,"['action', 'romance', 'war']",110.0,6.7,1736,1986
American Strays,"['action', 'comedy']",97.0,6.8,5,1996
Rebel Without a Cause,['drama'],111.0,7.6,351,2055
A Streetcar Named Desire,['drama'],125.0,7.6,291,2051
Children of the Corn IV: The Gathering,['horror'],85.0,4.6,41,1996
The Leopard Son,['documentary'],87.0,0.0,0,1996
Charm's  Incidents,['comedy'],88.0,0.0,0,1996
Bird of Prey,"['crime', 'drama']",105.0,0.0,0,1995
Microcosmos,['documentary'],80.0,7.7,61,1996
Palookaville,['comedy'],92.0,5.4,7,1995
The Associate,['comedy'],114.0,6.2,49,1996
The Funeral,"['crime', 'drama']",99.0,7.3,31,1996
The Sleepover,"['comedy', 'horror']",6.0,8.0,1,2013
A Single Girl,['drama'],90.0,6.8,8,1995
The Eighth Day,['drama'],118.0,7.0,56,1996
North Star,"['action', 'adventure', 'drama', 'western']",90.0,5.2,3,1996
Drunks,['drama'],90.0,0.0,0,1997
The People vs. Larry Flynt,['drama'],129.0,6.8,257,1996
Glory Daze,['comedy'],100.0,5.8,15,1995
A Perfect Candidate,['documentary'],105.0,5.3,2,1996
On Golden Pond,['drama'],109.0,7.3,101,1981
The Return of the Pink Panther,"['mystery', 'comedy', 'crime']",113.0,6.7,138,1975
Drop Dead Fred,"['comedy', 'fantasy', 'family']",103.0,5.9,107,1991
The Abyss,"['adventure', 'action', 'thriller', 'science fiction']",139.0,7.1,822,1989
The Fog,['horror'],89.0,6.4,318,1980
Escape from New York,"['science fiction', 'action']",99.0,6.9,720,1981
The Howling,"['drama', 'horror']",91.0,6.4,165,1981
Jean de Florette,['drama'],120.0,7.6,113,1986
Manon of the Spring,['drama'],120.0,7.8,103,1986
Johnny 100 Pesos,['drama'],90.0,6.3,3,1993
Private Benjamin,['comedy'],109.0,6.0,103,1980
Monty Python and the Holy Grail,"['adventure', 'comedy', 'fantasy']",91.0,7.8,1742,1975
Hustler White,"['romance', 'drama']",79.0,6.8,12,1996
Dadetown,[],93.0,8.0,1,1995
Everything Relative,['drama'],110.0,4.0,1,1996
Entertaining Angels - The Dorothy Day Story,['drama'],112.0,5.0,1,1996
Three Lives and Only One Death,"['comedy', 'crime']",123.0,8.0,5,1996
The Line King: The Al Hirschfeld Story,['documentary'],86.0,0.0,0,1996
Snowriders,['documentary'],96.0,0.0,0,1996
Curtis's Charm,[],74.0,0.0,0,1995
When We Were Kings,['documentary'],89.0,7.3,54,1996
The Wrong Trousers,"['animation', 'comedy', 'family']",30.0,7.6,266,1993
JLG/JLG: Self-Portrait in December,['documentary'],62.0,7.7,3,1995
The Return of Martin Guerre,"['mystery', 'crime', 'drama', 'history', 'romance']",122.0,6.7,22,1982
Faust,"['animation', 'drama', 'fantasy']",97.0,7.4,22,1994
He Walked by Night,"['drama', 'thriller']",79.0,6.4,17,2048
Raw Deal,['crime'],79.0,7.2,19,2048
T-Men,"['thriller', 'crime']",92.0,6.4,15,2047
The Children Are Watching Us,['drama'],84.0,7.2,11,2044
Pastoral Symphony,['drama'],110.0,4.7,3,2046
Here Comes Cookie,[],65.0,8.0,1,2035
Love In Bloom,[],75.0,0.0,0,2035
Six of a Kind,['comedy'],62.0,3.5,2,2034
The Tin Drum,"['drama', 'history', 'war']",142.0,7.0,93,1979
The Ruling Class,"['drama', 'comedy']",154.0,6.8,29,1972
Mina Tannenbaum,"['drama', 'comedy']",0.0,4.8,3,1994
2 or 3 Things I Know About Her,"['comedy', 'drama']",100.0,7.0,33,2067
The Bloody Child,['drama'],85.0,0.0,0,1996
Dear God,['comedy'],112.0,5.1,17,1996
Bad Moon,['horror'],80.0,5.7,33,1996
American Dream,['documentary'],98.0,6.0,2,1990
Best of the Best 3: No Turning Back,['action'],90.0,5.8,13,1995
Bob Roberts,"['comedy', 'drama']",102.0,6.5,44,1992
Cinema Paradiso,"['drama', 'romance']",124.0,8.2,834,1988
"The Cook, the Thief, His Wife & Her Lover","['crime', 'drama']",125.0,7.3,137,1989
Dead Tired,['comedy'],0.0,5.6,9,1994
Delicatessen,"['comedy', 'science fiction', 'fantasy']",99.0,7.4,320,1991
The Double Life of Veronique,"['drama', 'thriller']",97.0,7.3,154,1991
Enchanted April,"['romance', 'drama']",89.0,6.9,25,1991
Paths of Glory,"['drama', 'war']",88.0,8.2,565,2057
The Grifters,"['crime', 'drama']",110.0,6.5,112,1990
Hear My Song,"['comedy', 'foreign']",113.0,4.1,4,1991
The Shooter,['western'],91.0,5.0,1,1997
The English Patient,"['drama', 'romance', 'war']",162.0,7.0,559,1996
Mediterraneo,"['comedy', 'romance', 'war']",96.0,7.4,157,1991
My Left Foot: The Story of Christy Brown,['drama'],103.0,7.5,208,1989
"Sex, Lies, and Videotape",['drama'],100.0,6.7,188,1989
Passion Fish,['drama'],135.0,6.7,7,1992
