title,budget,production_companies,genres,keywords,overview,vote_count,vote_average
Absolute Power,50000000,"['Columbia Pictures', 'Castle Rock Entertainment', 'Malpaso Productions']","['crime', 'drama', 'thriller']","['corruption', 'assassination', 'washington d.c.']",A master thief coincidentally is robbing a house where a murder in which the President of The United States is involved occurs in front of his eyes. He is forced to run yet may hold evidence that could convict the President. A political thriller from and starring Clint Eastwood and based on a novel by David Baldacci.,223,6.4
G.I. Jane,50000000,"['Caravan Pictures', 'Hollywood Pictures', 'First Independent Films']","['action', 'drama']","['poem', 'middle east', 'helicopter']",A female Senator succeeds in enrolling a woman into Combined Reconnaissance Team training where everyone expects her to fail.,395,6.0
The Game,50000000,"['PolyGram Filmed Entertainment', 'A&B Producoes', 'Popaganda Films']","['drama', 'thriller', 'mystery']","['brother brother relationship', 'birthday', 'danger of life']","In honor of his birthday, San Francisco banker Nicholas Van Orton, a financial genius and a coldhearted loner, receives an unusual present from his younger brother, Conrad -- a gift certificate to play a unique kind of game. In nearly a nanosecond, Nicholas finds himself consumed by a dangerous set of ever-changing rules, unable to distinguish where the charade ends and reality begins.",1506,7.5
Silent Hill,50000000,"['Silent Hill DCP Inc.', 'Davis-Films', 'TriStar Pictures']","['horror', 'mystery']","['monster', 'mother role', 'burning of witches']","The eerie and deserted ghost town of Silent Hill draws a young mother desperate to find a cure for her only child's illness. Unable to accept the doctor's diagnosis that her daughter should be permanently institutionalized for psychiatric care, Rose flees with her child, heading for the abandoned town in search of answers  and ignoring the protests of her husband. It's soon clear this place is unlike anywhere she's ever been. It's smothered by fog, inhabited by a variety of strange beings and periodically overcome by a living 'darkness' that literally transforms everything it touches. As Rose searches for her little girl, she begins to learn the history of the strange town and realizes that her daughter is just a pawn in a larger game.",1067,6.3
The Replacements,0,['Warner Bros.'],['comedy'],"['american football', 'strike', 'sport']","Maverick old-guard coach Jimmy McGinty is hired in the wake of a players' strike to help the Washington Sentinels advance to the playoffs. But that impossible dream hinges on whether his replacements can hunker down and do the job. So, McGinty dusts off his secret dossier of ex-players who never got a chance (or screwed up the one they were given) and knits together a bad-dream team of guys who just may give the Sentinels their title shot.",203,6.1
American Reunion,50000000,['Universal Pictures'],['comedy'],"['wife husband relationship', 'sequel', 'family reunion']","The characters we met a little more than a decade ago are returning to East Great Falls for their high-school reunion. In one long-overdue weekend, they will discover what has changed, who hasnt and that time and distance cant break the bonds of friendship. It was summer 1999 when four small-town Michigan boys began a quest to lose their virginity. In the years that have passed, Jim and Michelle married while Kevin and Vicky said goodbye. Oz and Heather grew apart, but Finch still longs for Stiflers mom. Now these lifelong friends have come home as adults to reminisce about  and get inspired by  the hormonal teens who launched a comedy legend.",1611,6.1
The Negotiator,50000000,"['Regency Enterprises', 'Warner Bros.']","['action', 'adventure', 'crime', 'drama', 'mystery', 'thriller']","['corruption', 'hostage', 'pension']","The police try to arrest expert hostage negotiator Danny Roman, who insists he's being framed for his partner's murder in what he believes is an elaborate conspiracy. Thinking there's evidence in the Internal Affairs offices that might clear him, he takes everyone in the office hostage and demands that another well-known negotiator be brought in to handle the situation and secretly investigate the conspiracy.",582,6.8
Into the Storm,50000000,"['New Line Cinema', 'Village Roadshow Pictures', 'Broken Road Productions']","['action', 'thriller']","['tornado', 'student', 'found footage']","The town of Silverton is in one day destroyed by the unprecedented power of a series of tornadoes. The population is at the mercy of the unpredictable and deadly cyclones, while hunters warn that the worst is yet to come. Most people find shelter, but some just go to the tornado for that one, unique shot.",817,5.8
Beverly Hills Cop III,50000000,"['Paramount Pictures', 'Eddie Murphy Productions']","['action', 'comedy', 'crime']","['detective', 'undercover', 'security camera']","Back in sunny southern California and on the trail of two murderers, Axel Foley again teams up with LA cop Billy Rosewood. Soon, they discover that an amusement park is being used as a front for a massive counterfeiting ring  and it's run by the same gang that shot Billy's boss.",434,5.5
Gremlins 2: The New Batch,50000000,"['Amblin Entertainment', 'Warner Bros.']","['comedy', 'horror', 'fantasy']","['new york', 'monster', 'skyscraper']","Young sweethearts Billy and Kate move to the Big Apple, land jobs in a high-tech office park and soon reunite with the friendly and lovable Gizmo. But a series of accidents creates a whole new generation of Gremlins. The situation worsens when the devilish green creatures invade a top-secret laboratory and develop genetically altered powers, making them even harder to destroy!",652,6.2
The Judge,50000000,"['Village Roadshow Pictures', 'Warner Bros.', 'Big Kid Pictures']",['drama'],"['father son relationship', 'judge', 'lawyer']","A successful lawyer returns to his hometown for his mother's funeral only to discover that his estranged father, the town's judge, is suspected of murder.",1417,7.2
The Peacemaker,50000000,['DreamWorks SKG'],"['action', 'thriller']","['helicopter', 'terrorist', 'nuclear missile']","When a train carrying atomic warheads mysteriously crashes in the former Soviet Union, a nuclear specialist discovers the accident is really part of a plot to cover up the theft of the weapons. Assigned to help her recover the missing bombs is a crack Special Forces Colonel.",255,5.8
Resident Evil: Apocalypse,45000000,"['Impact Pictures', 'Constantin Film Ltd.']","['horror', 'action', 'science fiction']","['martial arts', 'mutant', 'dystopia']","As the city is locked down under quarantine, Alice joins a small band of elite soldiers, enlisted to rescue the missing daughter of the creator of the mutating T-virus. It's a heart-pounding race against time as the group faces off against hordes of blood- thirsty zombies, stealthy Lickers, mutant canines and the most sinister foe yet.",1267,6.1
Bridget Jones: The Edge of Reason,50000000,"['Miramax Films', 'Universal Pictures', 'Studio Canal']","['comedy', 'romance']","['london england', 'lovesickness', 'thailand']","Bridget Jones is becoming uncomfortable in her relationship with Mark Darcy. Apart from discovering that he's a conservative voter, she has to deal with a new boss, a strange contractor and the worst vacation of her life.",750,6.1
Out of Time,50000000,"['Original Film', 'Monarch Pictures', 'Metro-Goldwyn-Mayer (MGM)']","['thriller', 'crime', 'drama']","['miami', 'florida', 'double murder']","Matt Lee Whitlock, respected chief of police in small Banyan Key, Florida, must solve a vicious double homicide before he himself falls under suspicion. Matt Lee has to stay a few steps ahead of his own police force and everyone he's trusted in order to find out the truth.",298,6.1
On Deadly Ground,50000000,['Warner Bros.'],"['action', 'thriller']","['fight', 'inuit', 'petrol']","Forrest Taft is an environmental agent who works for the Aegis Oil Company in Alaska. Aegis Oil's corrupt CEO, Michael Jennings, is the kind of person who doesn't care whether or not oil spills into the ocean or onto the land, just as long as it's making money for him.",104,4.5
The Adventures of Sharkboy and Lavagirl,50000000,['Troublemaker Studios'],"['adventure', 'family', 'science fiction']","['imaginary friend', 'outcast']","Everyone always knew that Max had a wild imagination, but no one believed that his wildest creations -- a boy raised by watchful great white sharks and a girl with the force of a volcano -- were real. Now, these two pint-sized action masters will show Max that even an ordinary kid has what it takes to be extraordinary.",269,4.4
The Beach,40000000,['Figment Films'],"['drama', 'adventure', 'romance', 'thriller']","['hippie', 'exotic island', 'beach']","Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it.",1233,6.3
Raising Helen,50000000,"['Touchstone Pictures', 'Beacon Pictures', 'Mandeville Films']","['drama', 'comedy', 'romance']","['new york', 'pastor', 'world of fasion']","Helen Harris has a glamorous, big-city life working for one of New York's hottest modeling agencies. But suddenly her free-spirited life gets turned upside down when she must chose between the life she's always loved, and the new loves of her life!",189,5.9
Ninja Assassin,40000000,"['Studio Babelsberg', 'Anarchos Productions', 'Legendary Pictures']","['action', 'crime', 'thriller']","['assassination', 'assassin', 'ninja fighter']","Ninja Assassin follows Raizo (Rain), one of the deadliest assassins in the world. Taken from the streets as a child, he was transformed into a trained killer by the Ozunu Clan, a secret society whose very existence is considered a myth. But haunted by the merciless execution of his friend by the Clan, Raizo breaks free from them and vanishes. Now he waits, preparing to exact his revenge.",371,6.2
For Love of the Game,50000000,"['Universal Pictures', 'Beacon Pictures']","['drama', 'romance']","['baseball', 'trainer', 'career']","A baseball legend almost finished with his distinguished career at the age of forty has one last chance to prove who he is, what he is capable of, and win the heart of the woman he has loved for the past four years.",88,6.3
Striptease,50000000,"['Columbia Pictures', 'Castle Rock Entertainment']","['drama', 'thriller', 'crime']","['blackmail', 'strip club', 'striptease']","Bounced from her job, Erin Grant needs money if she's to have any chance of winning back custody of her child. But, eventually, she must confront the naked truth: to take on the system, she'll have to take it all off. Erin strips to conquer, but she faces unintended circumstances when a hound dog of a Congressman zeroes in on her and sharpens the shady tools at his fingertips, including blackmail and murder.",205,4.4
Marmaduke,50000000,['Twentieth Century Fox Film Corporation'],"['family', 'comedy']",[],"When Phil and Debbie Winslow relocate from their native Kansas to the sunny climes of Orange County, their big-hearted, havoc-wreaking Great Dane gets a taste of the dog's life, California-style.",149,5.0
Hereafter,50000000,"['Amblin Entertainment', 'Malpaso Productions', 'Warner Bros.']","['drama', 'fantasy']",[],"A supernatural thriller centered on three people -- a blue-collar American, a French journalist and a London school boy -- who are touched by death in different ways.",510,5.8
Murder by Numbers,50000000,"['Castle Rock Entertainment', 'Warner Bros.', 'Schroeder Hoffman Productions']","['crime', 'drama', 'thriller']","['detective', 'secret', 'fbi']","Tenacious homicide detective Cassie Mayweather and her still-green partner are working a murder case, attempting to profile two malevolently brilliant young men: cold, calculating killers whose dark secrets might explain their crimes.",268,6.0
Assassins,50000000,"['Silver Pictures', 'Canal+', 'Warner Bros.']","['action', 'adventure', 'crime', 'thriller']","['competition', 'assassination', 'cia']","Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",387,6.0
Hannibal Rising,50000000,"['Ingenious Film Partners', 'ETIC Films', 'Quinta Communications']","['crime', 'drama', 'thriller']","['winter', 'psychopath', 'horror']","The story of the early, murderous roots of the cannibalistic killer, Hannibal Lecter  from his hard-scrabble Lithuanian childhood, where he witnesses the repulsive lengths to which hungry soldiers will go to satiate themselves, through his sojourn in France, where as a med student he hones his appetite for the kill.",654,6.0
The Story of Us,50000000,"['Universal Pictures', 'Castle Rock Entertainment']","['comedy', 'drama', 'romance']","[""love of one's life"", 'therapist', 'psychology']",Ben and Katie Jordan are a married couple who go through hard times in fifteen years of marriage.,75,5.9
The Host,44000000,"['Nick Wechsler Productions', 'Open Road Films', 'Silver Reel']","['action', 'adventure', 'romance', 'science fiction', 'thriller']","['based on novel', 'mass murder', 'dystopia']","A parasitic alien soul is injected into the body of Melanie Stryder. Instead of carrying out her race's mission of taking over the Earth, ""Wanda"" (as she comes to be called) forms a bond with her host and sets out to aid other free humans.",1817,6.0
Basic,50000000,"['Intermedia Films', 'Krane Entertainment']","['action', 'drama', 'mystery', 'thriller', 'crime']","['drug addiction', 'military court', 'panama']",A DEA agent investigates the disappearance of a legendary Army ranger drill sergeant and several of his cadets during a training exercise gone severely awry.,286,6.2
Blood Work,50000000,"['Malpaso Productions', 'Warner Bros.']","['crime', 'drama', 'mystery', 'thriller']","['houseboat', 'heart', 'investigation']","Still recovering from a heart transplant, a retired FBI profiler returns to service when his own blood analysis offers clues to the identity of a serial killer.",206,6.1
The International,50000000,"['Studio Babelsberg', 'Atlas Entertainment', 'Mosaic Media Group']","['drama', 'thriller', 'crime']",['duringcreditsstinger'],"An interpol agent and an attorney are determined to bring one of the world's most powerful banks to justice. Uncovering money laundering, arms trading, and conspiracy to destabilize world governments, their investigation takes them from Berlin, Milan, New York and Istanbul. Finding themselves in a chase across the globe, their relentless tenacity puts their own lives at risk.",368,6.0
Escape from L.A.,50000000,"['Paramount Pictures', 'Rysher Entertainment']","['action', 'adventure', 'science fiction', 'thriller']","['prison', 'usa president', 'earthquake']","This time, a cataclysmic temblor hits Los Angeles, turning it into an island. The president views the quake as a sign from above, expels Los Angeles from the country and makes it a penal colony for those found guilty of moral crimes. When his daughter, part of a resistance movement, steals the control unit for a doomsday weapon, Snake again gets tapped to save the day.",373,5.6
The Iron Giant,70000000,['Warner Bros. Animation'],"['adventure', 'animation', 'family', 'fantasy', 'science fiction']","['cold war', 'friendship', 'giant robot']","In the small town of Rockwell, Maine in October 1957, a giant metal machine befriends a nine-year-old boy and ultimately finds its humanity by unselfishly saving people from their own fears and prejudices.",1436,7.6
The Life Aquatic with Steve Zissou,50000000,"['Touchstone Pictures', 'American Empirical Pictures']","['adventure', 'comedy', 'drama']","['ocean', 'film making', 'loss of mother']",Wes Andersons incisive quirky comedy build up stars complex characters like in The Royal Tenenbaums with Bill Murray on in the leading role. An ocean adventure documentary film maker Zissou is put in all imaginable life situations and a tough life crisis as he attempts to make a new film about capturing the creature that caused him pain.,775,7.1
Free State of Jones,50000000,"['Larger Than Life Productions', 'Vendian Entertainment', 'Route One Films']","['war', 'action', 'drama', 'history', 'thriller']","['slavery', 'american civil war']","In 1863, Mississippi farmer Newt Knight serves as a medic for the Confederate Army. Opposed to slavery, Knight would rather help the wounded than fight the Union. After his nephew dies in battle, Newt returns home to Jones County to safeguard his family but is soon branded an outlaw deserter. Forced to flee, he finds refuge with a group of runaway slaves hiding out in the swamps. Forging an alliance with the slaves and other farmers, Knight leads a rebellion that would forever change history.",428,6.6
The Life of David Gale,50000000,"['Mikona Productions GmbH & Co. KG', 'Universal Pictures', 'Intermedia Films']","['drama', 'thriller', 'crime']","['prison', 'journalist', 'texas']",A man against capital punishment is accused of murdering a fellow activist and is sent to death row.,480,7.3
Man of the House,40000000,"['Revolution Studios', 'Bel Air Entertainment']","['comedy', 'action']",[],Texas Ranger Roland Sharp is assigned to protect the only witnesses to the murder of a key figure in the prosecution of a drug kingpin -- a group of University of Texas cheerleaders. Sharp must now go undercover as an assistant cheerleading coach and move in with the young women.,120,5.4
Run All Night,50000000,"['Vertigo Entertainment', 'Energy Entertainment', 'RatPac-Dune Entertainment']","['action', 'crime', 'drama', 'mystery', 'thriller']","['hitman', 'revenge', 'murder']","Brooklyn mobster and prolific hit man Jimmy Conlon has seen better days. Longtime best friend of a mob boss, Jimmy is haunted by the sins of his pastas well as a dogged police detective whos been one step behind Jimmy for 30 years. But when Jimmys estranged son becomes a target, Jimmy must make a choice between the crime family he chose and the real family he abandoned long ago. Now, with nowhere safe to turn, Jimmy has just one night to figure out exactly where his loyalties lie and to see if he can finally make things right.",1148,6.3
Eastern Promises,51500000,"['BBC Films', 'Serendipity Point Films', 'Téléfilm Canada']","['thriller', 'crime', 'mystery']","['london england', 'gay', 'male nudity']",A Russian teenager living in London who dies during childbirth leaves clues to a midwife in her journal that could tie her child to a rape involving a violent Russian mob family.,848,7.2
Into the Blue,50000000,"['Columbia Pictures Corporation', 'Mandalay Pictures', 'Metro-Goldwyn-Mayer (MGM)']","['action', 'thriller', 'adventure', 'crime']","['diving', 'cocaine', 'shipwreck']","When they take some friends on an extreme sport adventure, the last thing Jared and Sam expect to see below the shark-infested waters is a legendary pirate ship rumored to contain millions of dollars in gold. But their good fortune is short-lived, as a ruthless gang of criminals gets word of what they have uncovered.",458,5.8
The Messenger: The Story of Joan of Arc,60000000,"['Columbia Pictures', 'Gaumont']","['adventure', 'drama', 'action', 'history', 'war']","['schizophrenia', 'france', 'rape']",In 1429 a teenage girl from a remote French village stood before her King with a message she claimed came from God; that she would defeat the world's greatest army and liberate her country from its political and religious turmoil. Following her mission to reclaim god's dimished kingdom - through her amazing victories until her violent and untimely death.,367,6.2
Your Highness,49900000,"['Universal Pictures', 'Stuber Productions']",['comedy'],"['kidnapping', 'traitor', 'virgin']","A fantasy movie about an arrogant, lazy prince and his more heroic brother who must complete a quest in order to save their father's kingdom.",501,5.2
Dream House,50000000,"['Cliffjack Motion Pictures', 'Morgan Creek Productions']","['drama', 'thriller', 'mystery']","['house fire', 'extension ladder', 'last day on job']","Publisher, Will Atenton quits a lucrative job in New York to relocate his wife, Libby and their daughters to a quaint town in New England. However, as they settle into their home the Atentons discover that a woman and her children were murdered there, and the surviving husband is the town's prime suspect. With help from a neighbor who was close to the murdered family, Will pieces together a horrifying chain of events.",391,5.8
Mad City,50000000,"['Warner Bros.', 'Arnold Kopelson Productions']","['action', 'drama', 'thriller']","['journalist', 'museum', 'hostage drama']",A misguided museum guard who loses his job and then tries to get it back at gunpoint is thrown into the fierce world of ratings-driven TV gone mad.,81,5.9
Baby's Day Out,50000000,['Twentieth Century Fox Film Corporation'],"['action', 'adventure', 'comedy', 'family']","['baby', 'hoodlum', 'lost child']","Baby Bink couldn't ask for more; he has adoring (if somewhat sickly-sweet) parents, he lives in a huge mansion, and he's just about to appear in the social pages of the paper. Unfortunately, not everyone in the world is as nice as Baby Bink's parents; especially the three enterprising kidnapers who pretend to be photographers from the newspaper. Successfully kidnaping Baby Bink, they have a harder time keeping hold of the rascal, who not only keeps one step ahead of them, but seems to be more than a little bit smarter than the three bumbling criminals.",274,5.8
The Scarlet Letter,50000000,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']","['drama', 'history', 'romance']","['based on novel', 'burning of witches', 'puritan']","Set in puritanical Boston in the mid 1600s, the story of seamstress Hester Prynne, who is outcast after she becomes pregnant by a respected reverend. She refuses to divulge the name of the father, is ""convicted"" of adultery and forced to wear a scarlet ""A"" until an Indian attack unites the Puritans and leads to a reevaluation of their laws and morals.",108,5.5
Fair Game,22000000,"['River Road Entertainment', 'Participant Media']","['drama', 'thriller']","['cia', 'nuclear scientist', 'iraq']","Wife and mother Valerie Plame (Naomi Watts) has a double life as a CIA operative, hiding her vocation from family and friends. Her husband, Joseph Wilson (Sean Penn), writes a controversial article in The New York Times, refuting stories about the sale of enriched uranium to Iraq, Then Valerie's secret work and identity is leaked to the press. With her cover blown and other people endangered, Valerie's career and personal life begin to unravel.",235,6.5
Domino,50000000,"['New Line Cinema', 'Davis-Films', 'Metropolitan Filmexport']","['action', 'crime']","['bounty hunter', 'fbi', 'weapon']","The daughter of actor, Laurence Harvey turns away from her career as a Ford model to become a bounty hunter.",444,6.0
Jade,50000000,['Paramount Pictures'],"['action', 'thriller', 'mystery', 'romance']","['callgirl', 'san francisco', 'investigation']","Someone does a nasty hatchet job on a San Fransisco big noise and the Assistant D.A. takes charge of the investigation. Through a web of blackmail and prostitution involving the Governor, an old lover of the law man emerges as a prime suspect and he has to deal with his personal feelings as well as the case.",44,5.2
Gamer,50000000,"['Lakeshore Entertainment', 'Lionsgate']","['action', 'thriller', 'science fiction']","['dystopia', 'mind control', 'gun battle']","Mind-control technology has taken society by a storm, a multiplayer on-line game called ""Slayers"" allows players to control human prisoners in mass-scale. Simon (Lerman) controls Kable (Butler), the online champion of the game. Kable's ultimate challenge becomes regaining his identity and independence by defeating the game's mastermind (Hall).",760,5.6
Beautiful Creatures,60000000,"['Alcon Entertainment', 'Warner Bros.', 'Belle Pictures']","['fantasy', 'drama', 'romance']","['civil war', 'southern usa', 'magic']","Ethan Wate just wants to get to know Lena Duchannes better, but unbeknownst to him, Lena has strange powers.  As Lena's 16th birthday approaches she might decide her fate, to be good or evil.  A choice which will impact her relationship forever.",984,5.6
Death to Smoochy,55000000,"['Senator Film Produktion', 'Mad Chance', 'Warner Bros.']","['comedy', 'crime', 'drama', 'thriller']","['corruption', 'moderator', 'tv show']","Tells the story of Rainbow Randolph, the corrupt, costumed star of a popular children's TV show, who is fired over a bribery scandal and replaced by squeaky-clean Smoochy, a puffy fuscia rhinoceros. As Smoochy catapults to fame - scoring hit ratings and the affections of a network executive - Randolph makes the unsuspecting rhino the target of his numerous outrageous attempts to exact revenge and reclaim his status as America's sweetheart.",132,5.9
Zoolander 2,50000000,"['Scott Rudin Productions', 'Red Hour Films']",['comedy'],"['stupidity', 'sequel', 'fashion']",Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,797,4.7
The Big Bounce,50000000,"['Shangri-La Entertainment', 'Material', 'Taormina Productions']","['comedy', 'crime']","['hotel', 'robbery', 'based on novel']","A small-time con artist and a Hawaiian real estate developer's mischievous, enterprising mistress team up for a potential $200,000 score.",76,5.0
What Planet Are You From?,60000000,['Columbia Pictures'],"['comedy', 'drama', 'romance', 'science fiction']","['noises', 'alien life-form', 'erection']","A highly-evolved planet, whose denizens feel no emotion and reproduce by cloning, plans to take over Earth from the inside by sending an operative, fashioned with a humming, mechanical penis, to impregnate an earthling and stay until the birth. The alien, Harold Anderson, goes to Phoenix as a banker and sets to work finding a mate. His approaches to women are inept, and the humming phallus doesn't help, but on the advice of a banking colleague, he cruises an AA meeting, meets Susan, and somehow convinces her to marry. The clock starts to tick: will she conceive, have a baby, and lose Harold (and the child) to his planet before he discovers emotion and starts to care?",37,5.4
Drive Angry,50000000,"['Summit Entertainment', 'Saturn Films', 'Nu Image Films']","['fantasy', 'thriller', 'action', 'crime']","['bone', 'car explosion', 'premarital sex']","Milton is a hardened felon who has broken out of Hell, intent on finding the vicious cult who brutally murdered his daughter and kidnapped her baby. He joins forces with Piper, a sexy, tough-as-nails waitress with a 69 Charger, who's also seeking redemption of her own. Caught in a deadly race against time, Milton has three days to avoid capture, avenge his daughter's death, and save her baby before she's mercilessly sacrificed by the cult.",600,5.3
Street Fighter: The Legend of Chun-Li,50000000,"['Twentieth Century Fox Film Corporation', 'Hyde Park Films']","['action', 'adventure', 'science fiction', 'thriller']","['martial arts', 'revenge', 'street fighter']","When a teenager, Chun-Li witnesses the kidnapping of her father by wealthy crime lord M. Bison. When she grows up, she goes into a quest for vengeance and becomes the famous crime-fighter of the Street Fighter universe.",112,3.9
The One,49000000,"['Columbia Pictures', 'Revolution Studios', 'Hard Eight Pictures']","['action', 'science fiction', 'thriller']",['dual identity'],A sheriff's deputy fights an alternate universe version of himself who grows stronger with each alternate self he kills.,437,5.7
The Adventures of Ford Fairlane,49000000,"['Twentieth Century Fox Film Corporation', 'Silver Pictures']","['action', 'comedy', 'thriller', 'crime', 'mystery']","['rock and roll', 'show business', 'rock star']","Ford ""Mr. Rock n' Roll Detective"" Fairlane is experiencing problems, and it's not with the opposite sex. One of them is that all the rock stars pay him with drum sticks, koala bears, food processors and bicycle shorts. Another one of them is that all his employers that want him to find a girl named Zuzu Petals get killed. Why didn't he become a fisherman's detective instead?",71,6.2
The Boat That Rocked,50000000,"['Universal Pictures', 'Studio Canal', 'Working Title Films']","['drama', 'comedy']","['great britain', 'musical', 'rock']","The Boat that Rocked is an ensemble comedy, where the romance is between the young people of the 60s, and pop music. It's about a band of DJs that captivate Britain, playing the music that defines a generation and standing up to a government that  wanted control of popular culture via the British Broadcasting Corporation. Loosely based on the events in Britain in the 60's when the Labour government of Harold Wilson, wanted to bring the pirate stations under control, enough to see the passage of the Marine Broadcasting Offences Act on 15 August 1967",666,7.2
Traffic,48000000,"['USA Films', 'Initial Entertainment Group (IEG)', 'Bedford Falls Company, The']","['thriller', 'drama', 'crime']","['usa', 'war on drugs', 'drug traffic']","An exploration of the United States of America's war on drugs from multiple perspectives. For the new head of the Office of National Drug Control Policy, the war becomes personal when he discovers his well-educated daughter is abusing cocaine within their comfortable suburban home. In Mexico, a flawed, but noble policeman agrees to testify against a powerful general in league with a cartel, and in San Diego, a drug kingpin's sheltered trophy wife must learn her husband's ruthless business after he is arrested, endangering her luxurious lifestyle.",562,6.9
Indiana Jones and the Last Crusade,48000000,"['Lucasfilm', 'Paramount Pictures']","['adventure', 'action']","['saving the world', 'venice', 'holy grail']","When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",3152,7.6
Anna Karenina,0,"['Universal Pictures', 'Focus Features', 'Working Title Films']","['drama', 'romance']","['based on novel', 'st. petersburg russia', 'high society']","Trapped in a loveless marriage, aristocrat Anna Karenina enters into a life-changing affair with the affluent Count Vronsky.",639,6.5
Chappie,49000000,"['Columbia Pictures', 'Media Rights Capital', 'Sony Pictures Entertainment (SPE)']","['crime', 'action', 'science fiction']","['artificial intelligence', 'android', 'robot']","Every child comes into the world full of promise, and none more so than Chappie: he is gifted, special, a prodigy. Like any child, Chappie will come under the influence of his surroundingssome good, some badand he will rely on his heart and soul to find his way in the world and become his own man. But there's one thing that makes Chappie different from any one else: he is a robot.",3062,6.6
The Bone Collector,73000000,"['Universal Pictures', 'Columbia Pictures Corporation']","['drama', 'mystery', 'thriller', 'crime']","['paraplegic', 'investigation', 'psychopath']","Rookie cop, Amelia Donaghy reluctantly teams with Lincoln Rhyme  formerly the department's top homicide detective but now paralyzed as a result of a spinal injury  to catch a grisly serial killer dubbed 'The Bone Collector'. The murderer's special signature is to leave tantalizing clues based on the grim remains of his crimes.",826,6.5
Panic Room,48000000,"['Hofflund/Polone', 'Indelible Productions']","['crime', 'drama', 'thriller']","['burglar', 'bunker', 'housebreaking']","Trapped in their New York brownstone's panic room, a hidden chamber built as a sanctuary in the event of break-ins, newly divorced Meg Altman and her young daughter Sarah play a deadly game of cat-and-mouse with three intruders - Burnham, Raoul and Junior - during a brutal home invasion. But the room itself is the focal point because what the intruders really want is inside it.",1267,6.5
The Tooth Fairy,0,[],['horror'],"['gore', 'slasher', 'single mother']",A woman and her daughter (Nicole Muoz) encounter a deadly legend at a bed-and-breakfast.,13,4.3
Three Kings,75000000,"['Village Roadshow Pictures', 'Atlas Entertainment', 'Warner Bros.']","['action', 'adventure', 'comedy']","['gold', 'gulf war', 'three kings']","A group of American soldiers stationed in Iraq at the end of the Gulf War find a map they believe will take them to a huge cache of stolen Kuwaiti gold hidden near their base, and they embark on a secret mission that's destined to change everything.",692,6.6
Child 44,50000000,"['Summit Entertainment', 'Scott Free Productions', 'Worldview Entertainment']","['crime', 'thriller']","['based on novel', 'soviet union', 'russian']","Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership.",547,6.1
Rat Race,48000000,"['Paramount Pictures', 'Fireworks Pictures', 'Alphaville Films']","['adventure', 'comedy']","['casino', 'running', 'preisgeld']","In an ensemble film about easy money, greed, manipulation and bad driving, a Las Vegas casino tycoon entertains his wealthiest high rollers -- a group that will bet on anything -- by pitting six ordinary people against each other in a wild dash for $2 million jammed into a locker hundreds of miles away. The tycoon and his wealthy friends monitor each racer's every move to keep track of their favorites. The only rule in this race is that there are no rules.",518,6.0
K-PAX,48000000,"['Intermedia Films', 'Lawrence Gordon Productions', 'Pathé Pictures International']","['drama', 'science fiction']","['robbery', 'dream', 'hypnosis']","Prot is a patient at a mental hospital who claims to be from a far away Planet. His psychiatrist tries to help him, only to begin to doubt his own explanations.",695,7.1
Kate & Leopold,0,"['Miramax Films', 'Konrad Pictures']","['comedy', 'fantasy', 'romance', 'science fiction']","['lover (female)', ""love of one's life"", 'time travel']","When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history.",418,6.0
Bedazzled,48000000,"['Twentieth Century Fox Film Corporation', 'Regency Enterprises', 'KirchMedia']","['fantasy', 'comedy', 'romance']","[""love of one's life"", 'mephisto', 'wish']","Elliot Richardson, suicidal techno geek, is given seven wishes to turn his life around when he meets up with a very seductive Satan. The catch: his soul. Some of his wishes include a 7 foot basketball star, a rock star, and a hamburger. But, as could be expected, the Devil must put her own little twist on each his fantasies.",512,5.6
The Cotton Club,58000000,"['Orion Pictures', 'PSO International', 'Totally Independent']","['music', 'drama', 'crime', 'romance']","['jazz', 'jazz musician', 'musical']","The story of the people that frequented Harlem's famous nightclubs, 'The Cotton Club', and those that ran it.",68,6.6
